"symbol","total_prices","stock_from_date","stock_to_date","total_earnings","earnings_from_date","earnings_to_date"
"SQM","5394","1998-01-02","2019-06-11","42","2009-08-11","2019-05-22"
"SQNS","2049","2011-04-19","2019-06-11","33","2011-04-28","2019-05-09"
"SQQQ","2351","2010-02-11","2019-06-14","0","NULL","NULL"
"SQZZ","301","2017-03-22","2018-11-14","0","NULL","NULL"
"SR","5394","1998-01-02","2019-06-11","36","2009-07-31","2019-05-01"
"SRAX","1644","2012-12-03","2019-06-14","10","2016-11-14","2019-05-15"
"SRC","1690","2012-09-20","2019-06-11","27","2012-11-07","2019-05-02"
"SRCE","5397","1998-01-02","2019-06-14","40","2009-07-30","2019-04-18"
"SRCI","2838","2008-02-27","2019-06-05","22","2014-01-07","2019-05-01"
"SRCL","5397","1998-01-02","2019-06-14","40","2009-07-28","2019-05-02"
"SRCLP","716","2015-09-16","2018-07-19","0","NULL","NULL"
"SRDX","5356","1998-03-04","2019-06-14","40","2009-07-29","2019-05-01"
"SRE","5272","1998-06-29","2019-06-11","41","2009-05-05","2019-05-07"
"SRET","1070","2015-03-17","2019-06-14","0","NULL","NULL"
"SREV","2069","2011-03-25","2019-06-14","33","2011-05-09","2019-05-08"
"SRF","1835","2012-02-24","2019-06-11","0","NULL","NULL"
"SRG","991","2015-07-06","2019-06-11","13","2015-11-12","2018-11-01"
"SRI","5394","1998-01-02","2019-06-11","40","2009-07-31","2019-05-01"
"SRLP","1415","2013-10-25","2019-06-11","22","2014-03-26","2019-05-08"
"SRNE","3083","2007-03-19","2019-06-14","21","2013-11-14","2019-03-15"
"SRPT","5397","1998-01-02","2019-06-14","28","2012-08-07","2019-05-08"
"SRRA","986","2015-07-16","2019-06-14","17","2015-08-21","2019-05-08"
"SRRK","261","2018-05-24","2019-06-07","2","2019-03-18","2019-05-14"
"SRT","5394","1998-01-02","2019-06-11","41","2009-05-07","2019-05-08"
"SRTS","727","2016-07-26","2019-06-14","12","2016-08-04","2019-05-09"
"SRTSW","534","2016-07-25","2019-06-14","0","NULL","NULL"
"SRUN","199","2017-04-28","2018-02-09","0","NULL","NULL"
"SRUNU","221","2017-03-24","2018-02-09","0","NULL","NULL"
"SRUNW","197","2017-04-28","2018-02-09","0","NULL","NULL"
"SRV","2968","2007-08-27","2019-06-11","0","NULL","NULL"
"SSB","5397","1998-01-02","2019-06-14","20","2014-07-29","2019-04-29"
"SSBI","3252","2006-07-14","2019-06-14","39","2009-07-27","2019-01-29"
"SSC","2827","2007-05-23","2018-08-13","0","NULL","NULL"
"SSD","5394","1998-01-02","2019-06-11","40","2009-07-28","2019-04-29"
"SSFN","5047","1999-05-25","2019-06-14","38","2009-08-03","2018-11-08"
"SSI","4471","2001-08-30","2019-06-11","41","2009-05-21","2019-05-23"
"SSKN","3429","2005-10-28","2019-06-14","20","2014-03-17","2018-11-13"
"SSL","5394","1998-01-02","2019-06-11","0","NULL","NULL"
"SSLJ","337","2018-02-05","2019-06-07","0","NULL","NULL"
"SSNC","2318","2010-03-31","2019-06-14","37","2010-05-12","2019-04-30"
"SSNT","1824","2012-03-15","2019-06-14","18","2014-05-15","2018-11-13"
"SSP","5394","1998-01-02","2019-06-11","41","2009-05-04","2019-05-10"
"SSRM","5397","1998-01-02","2019-06-14","22","2014-02-20","2019-05-09"
"SSTI","509","2017-06-07","2019-06-14","8","2017-08-08","2019-05-09"
"SSTK","1675","2012-10-11","2019-06-11","27","2012-11-15","2019-04-25"
"SSW","3483","2005-08-09","2019-06-11","40","2009-08-05","2019-05-01"
"SSWA","408","2017-10-24","2019-06-11","0","NULL","NULL"
"SSWN","1273","2014-04-08","2019-04-29","0","NULL","NULL"
"SSY","5390","1998-01-02","2019-06-05","39","2009-05-12","2018-11-14"
"SSYS","5397","1998-01-02","2019-06-14","40","2009-07-29","2019-05-02"
"ST","2329","2010-03-11","2019-06-11","37","2010-04-21","2019-05-01"
"STAA","5397","1998-01-02","2019-06-14","41","2009-05-05","2019-05-01"
"STAF","1593","2013-02-15","2019-06-14","15","2015-10-15","2019-03-20"
"STAG","2051","2011-04-15","2019-06-11","32","2011-08-15","2019-04-30"
"STAY","1402","2013-11-13","2019-06-11","22","2014-02-26","2019-05-01"
"STB","2619","2007-12-07","2019-05-03","0","NULL","NULL"
"STBA","5397","1998-01-02","2019-06-14","40","2009-07-20","2019-04-18"
"STBZ","2268","2009-12-23","2018-12-31","0","NULL","NULL"
"STC","5394","1998-01-02","2019-06-11","39","2009-07-30","2019-04-25"
"STCN","323","2018-02-26","2019-06-07","15","2014-03-03","2017-12-07"
"STDY","870","2015-03-20","2018-08-30","0","NULL","NULL"
"STE","5394","1998-01-02","2019-06-11","41","2009-05-07","2019-05-13"
"STFC","5397","1998-01-02","2019-06-14","40","2009-07-28","2019-05-02"
"STG","304","2018-03-23","2019-06-07","2","2019-03-22","2019-05-28"
"STI","5394","1998-01-02","2019-06-11","40","2009-07-22","2019-04-18"
"STIM","237","2018-06-28","2019-06-07","2","2019-03-05","2019-05-07"
"STK","2399","2009-11-27","2019-06-11","0","NULL","NULL"
"STKL","5397","1998-01-02","2019-06-14","41","2009-05-07","2019-05-08"
"STKS","1250","2014-06-27","2019-06-14","22","2014-03-31","2019-05-09"
"STL","5138","1999-01-08","2019-06-11","40","2009-04-20","2019-04-24"
"STLD","5397","1998-01-02","2019-06-14","40","2009-07-22","2019-04-22"
"STLR","444","2016-10-28","2018-08-06","0","NULL","NULL"
"STLRU","324","2016-08-19","2018-10-25","0","NULL","NULL"
"STLRW","399","2016-10-13","2018-08-06","0","NULL","NULL"
"STLY","5395","1998-01-02","2019-06-14","37","2009-07-15","2018-07-20"
"STM","5394","1998-01-02","2019-06-11","40","2009-07-28","2019-04-24"
"STML","1606","2013-01-29","2019-06-14","22","2013-11-12","2019-05-10"
"STMP","5025","1999-06-25","2019-06-14","40","2009-07-30","2019-05-08"
"STN","3485","2005-08-05","2019-06-11","40","2009-05-14","2019-05-09"
"STND","2181","2010-10-07","2019-06-07","17","2014-01-23","2018-01-25"
"STNE","154","2018-10-25","2019-06-07","3","2019-02-25","2019-05-13"
"STNG","2315","2010-03-31","2019-06-11","35","2010-11-15","2019-05-02"
"STNL","342","2018-01-11","2019-06-14","0","NULL","NULL"
"STNLU","399","2017-11-03","2019-06-14","0","NULL","NULL"
"STNLW","176","2018-01-10","2019-06-14","0","NULL","NULL"
"STO","4257","2001-06-18","2019-02-26","0","NULL","NULL"
"STON","3710","2004-09-15","2019-06-11","35","2009-05-11","2018-03-07"
"STOR","1147","2014-11-18","2019-06-11","18","2015-02-26","2019-05-02"
"STPP","2215","2010-08-10","2019-06-14","0","NULL","NULL"
"STRA","5397","1998-01-02","2019-06-14","40","2009-07-30","2019-05-01"
"STRL","5397","1998-01-02","2019-06-14","41","2009-05-11","2019-05-06"
"STRM","5397","1998-01-02","2019-06-14","41","2009-06-09","2019-06-12"
"STRO","174","2018-09-27","2019-06-07","4","2019-02-13","2019-05-15"
"STRP","1160","2013-07-24","2018-03-01","0","NULL","NULL"
"STRS","5397","1998-01-02","2019-06-14","0","NULL","NULL"
"STRT","5397","1998-01-02","2019-06-14","40","2009-05-05","2019-01-24"
"STT","5394","1998-01-02","2019-06-11","40","2009-07-21","2019-04-23"
"STWD","2474","2009-08-12","2019-06-11","39","2009-11-16","2019-05-08"
"STX","4148","2002-12-11","2019-06-05","40","2009-07-21","2019-04-30"
"STXB","275","2018-05-04","2019-06-07","2","2019-01-30","2019-04-29"
"STZ","5394","1998-01-02","2019-06-11","40","2009-07-01","2019-04-04"
"SU","5394","1998-01-02","2019-06-11","40","2009-07-22","2019-05-01"
"SUI","5394","1998-01-02","2019-06-11","40","2009-05-07","2019-04-24"
"SUM","1070","2015-03-12","2019-06-11","17","2015-05-05","2019-05-08"
"SUMR","3091","2007-03-07","2019-06-14","43","2009-05-12","2019-05-08"
"SUN","1690","2012-09-20","2019-06-11","19","2012-11-07","2019-05-08"
"SUNS","2089","2011-02-25","2019-06-14","33","2011-05-03","2019-05-06"
"SUNW","868","2016-01-04","2019-06-14","17","2015-05-15","2019-05-14"
"SUP","5394","1998-01-02","2019-06-11","41","2009-05-08","2019-05-09"
"SUPN","1792","2012-05-01","2019-06-14","28","2012-08-10","2019-05-07"
"SUPV","770","2016-05-19","2019-06-11","12","2016-08-08","2019-02-25"
"SURF","286","2018-04-19","2019-06-07","2","2019-03-07","2019-05-09"
"SUSB","481","2017-07-18","2019-06-14","0","NULL","NULL"
"SUSC","479","2017-07-20","2019-06-14","0","NULL","NULL"
"SUZ","2973","2007-08-16","2019-06-07","0","NULL","NULL"
"SVA","3881","2003-11-03","2019-05-06","32","2009-05-15","2017-11-22"
"SVBI","4641","2001-01-02","2019-06-14","39","2009-07-16","2019-01-29"
"SVM","3548","2005-05-02","2019-06-05","35","2009-05-14","2019-05-23"
"SVMK","175","2018-09-26","2019-06-07","2","2019-02-13","2019-05-08"
"SVRA","3808","2004-04-29","2019-06-14","9","2017-05-09","2019-05-09"
"SVT","5390","1998-01-02","2019-06-05","36","2009-11-16","2018-11-13"
"SVU","4737","2000-01-03","2018-10-29","0","NULL","NULL"
"SVVC","2046","2011-04-28","2019-06-14","15","2014-03-14","2017-11-09"
"SWAV","69","2019-03-07","2019-06-13","1","2019-05-08","2019-05-08"
"SWCH","421","2017-10-06","2019-06-11","7","2017-11-13","2019-05-08"
"SWI","182","2016-01-04","2019-06-07","10","2014-02-05","2019-04-24"
"SWIN","449","2017-01-10","2018-10-19","0","NULL","NULL"
"SWIR","4807","2000-05-05","2019-06-14","40","2009-07-30","2019-05-09"
"SWJ","1729","2012-07-26","2019-06-11","0","NULL","NULL"
"SWK","5394","1998-01-02","2019-06-11","40","2009-07-22","2019-04-24"
"SWKS","5397","1998-01-02","2019-06-14","40","2009-07-22","2019-05-02"
"SWM","5394","1998-01-02","2019-06-11","41","2009-05-07","2019-05-01"
"SWN","5394","1998-01-02","2019-06-11","40","2009-07-30","2019-04-25"
"SWP","523","2017-05-12","2019-06-11","0","NULL","NULL"
"SWX","5394","1998-01-02","2019-06-11","42","2009-05-01","2019-05-07"
"SWZ","5394","1998-01-02","2019-06-11","0","NULL","NULL"
"SXC","1985","2011-07-21","2019-06-11","31","2011-11-02","2019-04-24"
"SXCP","1609","2013-01-18","2019-06-11","25","2013-04-25","2019-04-24"
"SXE","1660","2012-11-02","2019-06-11","22","2012-12-13","2018-11-14"
"SXI","5394","1998-01-02","2019-06-11","41","2009-05-07","2019-04-29"
